"","DATE_TIME","Sum_AC","DATE"
"175","2020-05-16 22:15:00",0,2020-05-16
"176","2020-05-16 22:30:00",0,2020-05-16
"177","2020-05-16 22:45:00",0,2020-05-16
"178","2020-05-16 23:00:00",0,2020-05-16
"179","2020-05-16 23:15:00",0,2020-05-16
"180","2020-05-16 23:30:00",0,2020-05-16
"181","2020-05-16 23:45:00",0,2020-05-16
"182","2020-05-17 00:00:00",0,2020-05-17
"183","2020-05-17 00:15:00",0,2020-05-17
"184","2020-05-17 00:30:00",0,2020-05-17
"185","2020-05-17 00:45:00",0,2020-05-17
"186","2020-05-17 01:00:00",0,2020-05-17
"187","2020-05-17 01:15:00",0,2020-05-17
"188","2020-05-17 01:30:00",0,2020-05-17
"189","2020-05-17 01:45:00",0,2020-05-17
"190","2020-05-17 02:00:00",0,2020-05-17
"191","2020-05-17 02:15:00",0,2020-05-17
"192","2020-05-17 02:30:00",0,2020-05-17
"193","2020-05-17 02:45:00",0,2020-05-17
"194","2020-05-17 03:00:00",0,2020-05-17
"195","2020-05-17 03:15:00",0,2020-05-17
"196","2020-05-17 03:30:00",0,2020-05-17
"197","2020-05-17 03:45:00",0,2020-05-17
"198","2020-05-17 04:00:00",0,2020-05-17
"199","2020-05-17 04:15:00",0,2020-05-17
"200","2020-05-17 04:30:00",0,2020-05-17
"201","2020-05-17 04:45:00",0,2020-05-17
"202","2020-05-17 05:00:00",0,2020-05-17
"203","2020-05-17 05:15:00",0,2020-05-17
"204","2020-05-17 05:30:00",0,2020-05-17
"205","2020-05-17 05:45:00",0,2020-05-17
"206","2020-05-17 06:00:00",3.2625,2020-05-17
"207","2020-05-17 06:15:00",259.15714286,2020-05-17
"208","2020-05-17 06:30:00",963.41428573,2020-05-17
"209","2020-05-17 06:45:00",1883.04464287,2020-05-17
"210","2020-05-17 07:00:00",3034.2642858,2020-05-17
"211","2020-05-17 07:15:00",5296.4375,2020-05-17
"212","2020-05-17 07:30:00",6154.7196431,2020-05-17
"213","2020-05-17 07:45:00",9265.5714285,2020-05-17
"214","2020-05-17 08:00:00",10929.7982145,2020-05-17
"215","2020-05-17 08:15:00",11135.2946429,2020-05-17
"216","2020-05-17 08:30:00",12057.8107142,2020-05-17
"217","2020-05-17 08:45:00",16134.9196428,2020-05-17
"218","2020-05-17 09:00:00",16595.9624999,2020-05-17
"219","2020-05-17 09:15:00",13991.1553571,2020-05-17
"220","2020-05-17 09:30:00",17965.3107143,2020-05-17
"221","2020-05-17 09:45:00",22218.2303581,2020-05-17
"222","2020-05-17 10:00:00",21149.9892858,2020-05-17
"223","2020-05-17 10:15:00",20861.5571429,2020-05-17
"224","2020-05-17 10:30:00",21990.9107148,2020-05-17
"225","2020-05-17 10:45:00",24634.428573,2020-05-17
"226","2020-05-17 11:00:00",23719.482142,2020-05-17
"227","2020-05-17 11:15:00",27034.6321414,2020-05-17
"228","2020-05-17 11:30:00",26224.062501,2020-05-17
"229","2020-05-17 11:45:00",23074.4815471,2020-05-17
"230","2020-05-17 12:00:00",17569.6803573,2020-05-17
"231","2020-05-17 12:15:00",22708.0482142,2020-05-17
"232","2020-05-17 12:30:00",17951.9339283,2020-05-17
"233","2020-05-17 12:45:00",22497.8178564,2020-05-17
"234","2020-05-17 13:00:00",12658.4035713,2020-05-17
"235","2020-05-17 13:15:00",13890.5089286,2020-05-17
"236","2020-05-17 13:30:00",21993.3232134,2020-05-17
"237","2020-05-17 13:45:00",18266.875,2020-05-17
"238","2020-05-17 14:00:00",19093.9589284,2020-05-17
"239","2020-05-17 14:15:00",12450.1464286,2020-05-17
"240","2020-05-17 14:30:00",8580.1267855,2020-05-17
"241","2020-05-17 14:45:00",20508.2392859,2020-05-17
"242","2020-05-17 15:00:00",19932.6107144,2020-05-17
"243","2020-05-17 15:15:00",15414.2660713,2020-05-17
"244","2020-05-17 15:30:00",17053.4535714,2020-05-17
"245","2020-05-17 15:45:00",9080.1107143,2020-05-17
"246","2020-05-17 16:00:00",13724.5607143,2020-05-17
"247","2020-05-17 16:15:00",10094.6898811,2020-05-17
"248","2020-05-17 16:30:00",9136.1446428,2020-05-17
"249","2020-05-17 16:45:00",8045.3589286,2020-05-17
"250","2020-05-17 17:00:00",4395.6089285,2020-05-17
"251","2020-05-17 17:15:00",3597.6303569,2020-05-17
"252","2020-05-17 17:30:00",2934.0232143,2020-05-17
"253","2020-05-17 17:45:00",1867.34285714,2020-05-17
"254","2020-05-17 18:00:00",674.78035714,2020-05-17
"255","2020-05-17 18:15:00",277.84821429,2020-05-17
"256","2020-05-17 18:30:00",0,2020-05-17
"257","2020-05-17 18:45:00",0,2020-05-17
"258","2020-05-17 19:00:00",0,2020-05-17
"259","2020-05-17 19:15:00",0,2020-05-17
"260","2020-05-17 19:30:00",0,2020-05-17
"261","2020-05-17 19:45:00",0,2020-05-17
"262","2020-05-17 20:00:00",0,2020-05-17
"263","2020-05-17 20:15:00",0,2020-05-17
"264","2020-05-17 20:30:00",0,2020-05-17
"265","2020-05-17 20:45:00",0,2020-05-17
"266","2020-05-17 21:00:00",0,2020-05-17
"267","2020-05-17 21:15:00",0,2020-05-17
"268","2020-05-17 21:30:00",0,2020-05-17
"269","2020-05-17 21:45:00",0,2020-05-17
"270","2020-05-17 22:00:00",0,2020-05-17
"271","2020-05-17 22:15:00",0,2020-05-17
"272","2020-05-17 22:30:00",0,2020-05-17
"273","2020-05-17 22:45:00",0,2020-05-17
"274","2020-05-17 23:00:00",0,2020-05-17
"275","2020-05-17 23:15:00",0,2020-05-17
"276","2020-05-17 23:30:00",0,2020-05-17
"277","2020-05-17 23:45:00",0,2020-05-17
"278","2020-05-18 00:00:00",0,2020-05-18
"279","2020-05-18 00:15:00",0,2020-05-18
"280","2020-05-18 00:30:00",0,2020-05-18
"281","2020-05-18 00:45:00",0,2020-05-18
"282","2020-05-18 01:00:00",0,2020-05-18
"283","2020-05-18 01:15:00",0,2020-05-18
"284","2020-05-18 01:30:00",0,2020-05-18
"285","2020-05-18 01:45:00",0,2020-05-18
"286","2020-05-18 02:00:00",0,2020-05-18
"287","2020-05-18 02:15:00",0,2020-05-18
"288","2020-05-18 02:30:00",0,2020-05-18
"289","2020-05-18 02:45:00",0,2020-05-18
"290","2020-05-18 03:00:00",0,2020-05-18
"291","2020-05-18 03:15:00",0,2020-05-18
"292","2020-05-18 03:30:00",0,2020-05-18
"293","2020-05-18 03:45:00",0,2020-05-18
"294","2020-05-18 04:00:00",0,2020-05-18
"295","2020-05-18 04:15:00",0,2020-05-18
"296","2020-05-18 04:30:00",0,2020-05-18
"297","2020-05-18 04:45:00",0,2020-05-18
"298","2020-05-18 05:00:00",0,2020-05-18
"299","2020-05-18 05:15:00",0,2020-05-18
"300","2020-05-18 05:30:00",0,2020-05-18
"301","2020-05-18 05:45:00",0,2020-05-18
"302","2020-05-18 06:00:00",153.528571429,2020-05-18
"303","2020-05-18 06:15:00",814.88035716,2020-05-18
"304","2020-05-18 06:30:00",1593.39999999,2020-05-18
"305","2020-05-18 06:45:00",2450.3089287,2020-05-18
"306","2020-05-18 07:00:00",3629.3196429,2020-05-18
"307","2020-05-18 07:15:00",5754.5964286,2020-05-18
"308","2020-05-18 07:30:00",7457.6535716,2020-05-18
"309","2020-05-18 07:45:00",3818.7375,2020-05-18
"310","2020-05-18 08:00:00",2718.2392857,2020-05-18
"311","2020-05-18 08:15:00",2958.9553572,2020-05-18
"312","2020-05-18 08:30:00",3928.7928572,2020-05-18
"313","2020-05-18 08:45:00",4149.9160714,2020-05-18
"314","2020-05-18 09:00:00",3821.5053571,2020-05-18
"315","2020-05-18 09:15:00",3705.2410715,2020-05-18
"316","2020-05-18 09:30:00",3203.3714285,2020-05-18
"317","2020-05-18 09:45:00",3284.105357,2020-05-18
"318","2020-05-18 10:00:00",3775.05,2020-05-18
"319","2020-05-18 10:15:00",4774.0821429,2020-05-18
"320","2020-05-18 10:30:00",6927.0553572,2020-05-18
"321","2020-05-18 10:45:00",12167.5482142,2020-05-18
"322","2020-05-18 11:00:00",13834.6339287,2020-05-18
"323","2020-05-18 11:15:00",15321.2107143,2020-05-18
"324","2020-05-18 11:30:00",11245.5267856,2020-05-18
"325","2020-05-18 11:45:00",13330.3035716,2020-05-18
"326","2020-05-18 12:00:00",17608.1660714,2020-05-18
"327","2020-05-18 12:15:00",18485.182143,2020-05-18
"328","2020-05-18 12:30:00",18252.9999999,2020-05-18
"329","2020-05-18 12:45:00",17113.6928571,2020-05-18
"330","2020-05-18 13:00:00",17358.6875,2020-05-18
"331","2020-05-18 13:15:00",21126.5089285,2020-05-18
"332","2020-05-18 13:30:00",24320.0875,2020-05-18
"333","2020-05-18 13:45:00",27601.919643,2020-05-18
"334","2020-05-18 14:00:00",20617.3910709,2020-05-18
"335","2020-05-18 14:15:00",10698.3214286,2020-05-18
